KodeRute,NamaRute,API_URL
11Q,Pulogebang - Kampung Melayu via BKT,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11Q&transportType=transjakarta
11R,Rusun Cakung KM 2 - Bukit Duri,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11R&transportType=transjakarta
11T,Pulogebang - Stasiun Cakung,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11T&transportType=transjakarta
11U,Pulogebang - Stasiun Cakung via Cakung Cilincing,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11U&transportType=transjakarta
11V,Pulogebang - Pasar Baru,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11V&transportType=transjakarta
12,Penjaringan - Sunter Kelapa Gading,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12&transportType=transjakarta
12A,Dermaga Kaliadem - Kota,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12A&transportType=transjakarta
12B,Pluit - Senen,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12B&transportType=transjakarta
12E,History of Jakarta Explorer,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12E&transportType=transjakarta
12K,Asemka Explorer,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12K&transportType=transjakarta
12M,Sunter Boulevard Barat - Harmoni,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12M&transportType=transjakarta
13A,Blok M - Ciledug Puri Beta,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13A&transportType=transjakarta
13B,Pancoran Barat - Ciledug Puri Beta,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13B&transportType=transjakarta
13C,Ciledug Puri Beta - Dukuh Atas,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13C&transportType=transjakarta
13D,Ragunan - Ciledug Puri Beta,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13D&transportType=transjakarta
13E,Ciledug Puri Beta - Kuningan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13E&transportType=transjakarta
13F,Puri Beta - Kampung Melayu,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13F&transportType=transjakarta
B11,Summarecon Bekasi - Tosari,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B11&transportType=transjakarta
B12,Summarecon Bekasi - Tanjung Priok,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B12&transportType=transjakarta
B21,Bekasi Timur - Grogol 2,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B21&transportType=transjakarta
B22,Bekasi Timur - Juanda,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B22&transportType=transjakarta
D11,Depok - BKN,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_D11&transportType=transjakarta
D21,Universitas Indonesia - Lebak Bulus,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_D21&transportType=transjakarta
D31,Cinere - Kuningan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_D31&transportType=transjakarta
DA1,Dukuh Atas - Sam Ratulangi,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_DA1&transportType=transjakarta
DA2,Dukuh Atas - Tanah Abang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_DA2&transportType=transjakarta
DA3,Dukuh Atas - Kuningan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_DA3&transportType=transjakarta
DA4,Dukuh Atas - Kota,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_DA4&transportType=transjakarta
L4,PGC 2 - Dukuh Atas 2,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_L4&transportType=transjakarta
L6,Bank Indonesia - Ragunan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_L6&transportType=transjakarta
L7,Kp. Rambutan - Kampung Melayu,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_L7&transportType=transjakarta
L10,PGC 2 - Tanjung Priok,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_L10&transportType=transjakarta
MR1,Blok M - Pakubuwono,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR1&transportType=transjakarta
MR2,Blok M - Kramat Pela,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR2&transportType=transjakarta
MR3,Blok M - Wijaya,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR3&transportType=transjakarta
MR5,Stasiun MRT Blok A - Radio Dalam,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR5&transportType=transjakarta
MR8,Stasiun MRT Blok A - Pangeran Antasari,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR8&transportType=transjakarta
MR9,South Quarter - Stasiun MRT Fatmawati,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR9&transportType=transjakarta
S11,Serpong - Jelambar,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S11&transportType=transjakarta
S21,Ciputat - Tosari,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S21&transportType=transjakarta
S22,Ciputat - Kampung Rambutan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S22&transportType=transjakarta
S23,Rempoa - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S23&transportType=transjakarta
S41,Pondok Cabe - Tanah Abang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S41&transportType=transjakarta
T11,Poris Plawad - Bundaran Senayan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_T11&transportType=transjakarta
T12,Poris Plawad - Pasar Baru,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_T12&transportType=transjakarta
1K,Cibubur - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1K&transportType=transjakarta
1T,Cibubur - Kota,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1T&transportType=transjakarta
1U,TMII - Balai Kota,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1U&transportType=transjakarta
6P,Cibubur - Kuningan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6P_royaltrans&transportType=transjakarta
B13,Summarecon Bekasi - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B13&transportType=transjakarta
B14,Summarecon Bekasi - Kuningan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B14&transportType=transjakarta
B15,Jatibening - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B15&transportType=transjakarta
B16,Jatibening - Kuningan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B16_royaltrans&transportType=transjakarta
B23,Bekasi Timur - Tebet,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B23&transportType=transjakarta
B24,Bekasi Timur - Kalideres,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B24&transportType=transjakarta
S12,Serpong BSD - Stasiun MRT Fatmawati,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S12_royaltrans&transportType=transjakarta
S31,Bintaro - Stasiun MRT Fatmawati,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S31&transportType=transjakarta
BW1,Sejarah Jakarta,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_BW1&transportType=transjakarta
BW2,Jakarta Baru,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_BW2&transportType=transjakarta
BW3,Kesenian & Kuliner,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_BW3&transportType=transjakarta
BW4,Pencakar Langit,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_BW4&transportType=transjakarta
BW5,Ruang Terbuka,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_BW5&transportType=transjakarta
